Station,Date,tre200s0,rre150z0_x,sre000z0,gre000z0,ure200s0,tde200s0,dkl010z0,fu3010z0,fu3010z1,prestas0,pp0qffs0,pp0qnhs0,ppz850s0,ppz700s0,dv1towz0,fu3towz0,fu3towz1,ta1tows0,uretows0,tdetows0,Kanton,Niederschlag
GOS,2024-03-07 12:50,1.60,0.00,-,-,84.90,-0.70,1.00,6.50,10.10,906.60,-,1016.00,1467.70,-,-,-,-,-,-,-,UR,
GOE,2024-03-07 12:50,5.90,0.00,0.00,109.00,77.50,2.30,56.00,5.40,9.40,972.90,1019.10,1018.10,-,-,-,-,-,-,-,-,SO,
GUE,2024-03-07 12:50,-2.40,0.00,10.00,714.00,65.50,-8.00,190.00,19.40,26.60,766.90,-,1013.20,1461.80,-,-,-,-,-,-,-,UR,
GUT,2024-03-07 12:50,6.20,0.00,0.00,206.00,76.20,2.30,64.00,5.00,10.10,965.70,1018.80,1017.80,-,-,-,-,-,-,-,-,TG,
HLL,2024-03-07 12:50,6.10,0.00,0.00,146.00,77.80,2.50,74.00,11.20,16.90,968.50,1019.10,1018.10,-,-,-,-,-,-,-,-,SH,
HOE,2024-03-07 12:50,-0.50,0.00,0.00,163.00,99.70,-0.50,30.00,2.20,10.80,886.30,-,1015.60,1467.30,-,-,-,-,-,-,-,ZH,
ILZ,2024-03-07 12:50,9.00,0.00,10.00,627.00,47.30,-1.60,-,-,-,934.30,-,1015.60,1475.40,-,-,-,-,-,-,-,GR,
INT,2024-03-07 12:50,7.30,0.00,10.00,647.00,64.00,1.00,325.00,6.50,14.00,949.00,1017.60,1016.80,-,-,-,-,-,-,-,-,BE,
JUN,2024-03-07 12:50,-11.30,-,10.00,733.00,58.40,-17.80,0.00,0.00,1.40,649.90,-,1011.40,-,3001.60,-,-,-,-,-,-,VS,
KOP,2024-03-07 12:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BE,
BRL,2024-03-07 12:50,5.10,0.00,10.00,658.00,65.30,-0.90,109.00,9.40,15.10,895.00,-,1015.20,1470.20,-,-,-,-,-,-,-,NE,
CDF,2024-03-07 12:50,5.00,0.00,10.00,660.00,65.90,-0.80,151.00,8.60,14.00,898.40,-,1015.10,1468.30,-,-,-,-,-,-,-,NE,
DOL,2024-03-07 12:50,0.10,0.00,10.00,694.00,77.30,-3.40,170.00,10.80,19.80,828.30,-,1013.60,1463.00,-,-,-,-,-,-,-,VD,
LAC,2024-03-07 12:50,5.90,0.00,-,-,74.30,1.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZ,
LAG,2024-03-07 12:50,2.60,0.00,0.00,287.00,82.30,-0.10,101.00,3.60,5.80,930.40,-,1017.00,1469.70,-,-,-,-,-,-,-,BE,
MLS,2024-03-07 12:50,-0.70,0.00,10.00,700.00,43.30,-11.60,223.00,17.60,26.30,797.40,-,1013.30,1461.70,-,-,-,-,-,-,-,FR,
LEI,2024-03-07 12:50,7.00,0.00,0.00,222.00,73.70,2.60,84.00,7.20,15.50,977.80,1019.20,1018.40,-,-,-,-,-,-,-,-,AG,
ATT,2024-03-07 12:50,-5.50,-,8.00,738.00,64.70,-11.10,182.00,3.20,7.60,724.40,-,1012.40,-,3003.40,-,-,-,-,-,-,VS,
CHB,2024-03-07 12:50,4.50,0.00,-,-,76.90,0.80,77.00,13.30,22.30,895.40,-,1015.10,1467.90,-,-,-,-,-,-,-,VD,
DIA,2024-03-07 12:50,-6.00,-,-,723.00,53.70,-13.90,165.00,14.00,20.20,703.20,-,1011.90,-,3000.60,-,-,-,-,-,-,VD,
MAR,2024-03-07 12:50,7.40,0.00,-,-,53.80,-1.30,79.00,8.30,14.80,-,-,-,-,-,-,-,-,-,-,-,VS,
OTL,2024-03-07 12:50,13.40,0.00,10.00,655.00,35.70,-1.50,245.00,7.60,18.70,971.30,1015.20,1015.50,-,-,-,-,-,-,-,-,TI,
LUG,2024-03-07 12:50,12.40,0.00,10.00,645.00,46.90,1.40,0.00,0.00,0.00,980.30,1016.00,1016.00,-,-,-,-,-,-,-,-,TI,
LUZ,2024-03-07 12:50,4.90,0.00,0.00,214.00,72.90,0.50,170.00,2.20,4.70,964.30,1019.40,1018.10,-,-,-,-,-,-,-,-,LU,
LAE,2024-03-07 12:50,0.90,-,0.00,111.00,98.90,0.70,45.00,11.20,24.50,919.00,-,1016.80,1468.30,-,-,-,-,-,-,-,ZH,
MAG,2024-03-07 12:50,14.00,0.00,10.00,714.00,36.20,-0.70,267.00,13.30,22.70,991.00,1015.30,1015.40,-,-,-,-,-,-,-,-,TI,
MAS,2024-03-07 12:50,7.00,0.00,-,-,65.70,1.00,50.00,7.60,14.40,-,-,-,-,-,-,-,-,-,-,-,FR,
MAH,2024-03-07 12:50,7.80,0.00,10.00,638.00,66.10,1.90,43.00,16.20,22.30,965.70,1017.90,1017.20,-,-,-,-,-,-,-,-,VD,
MTR,2024-03-07 12:50,-3.10,-,0.00,257.00,75.80,-6.80,160.00,9.00,14.00,776.70,-,1013.70,1469.20,-,-,-,-,-,-,-,TI,
MER,2024-03-07 12:50,6.00,0.00,10.00,658.00,65.30,0.00,229.00,3.60,4.70,947.70,1017.90,1016.70,-,-,-,-,-,-,-,-,BE,
MOB,2024-03-07 12:50,9.20,0.00,-,-,37.20,-4.60,315.00,11.50,19.80,917.60,-,1014.60,1469.90,-,-,-,-,-,-,-,VS,
MVE,2024-03-07 12:50,4.30,0.00,10.00,668.00,52.20,-4.60,220.00,4.00,9.40,854.20,-,1014.10,1464.40,-,-,-,-,-,-,-,VS,
GEN,2024-03-07 12:50,1.40,0.00,0.00,170.00,91.30,0.10,222.00,2.50,13.00,836.50,-,1014.90,1472.00,-,-,-,-,-,-,-,TI,
MRP,2024-03-07 12:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
MOA,2024-03-07 12:50,5.20,0.00,0.00,74.00,88.90,3.50,305.00,2.90,5.40,964.50,1019.30,1018.10,-,-,-,-,-,-,-,-,LU,
MTE,2024-03-07 12:50,3.40,0.00,10.00,689.00,37.30,-9.80,344.00,7.60,11.20,838.00,-,1014.20,1465.30,-,-,-,-,-,-,-,VS,
MOE,2024-03-07 12:50,7.10,0.00,0.00,242.00,75.40,3.10,107.00,14.40,24.10,977.70,1019.20,1018.50,-,-,-,-,-,-,-,-,AG,
MUB,2024-03-07 12:50,6.30,0.00,0.00,349.00,68.70,1.00,120.00,2.90,7.60,960.70,1018.40,1017.40,-,-,-,-,-,-,-,-,BE,
NAS,2024-03-07 12:50,-5.00,-,10.00,695.00,87.60,-6.70,236.00,19.10,23.80,757.40,-,1012.40,-,2996.20,-,-,-,-,-,-,GR,
NAP,2024-03-07 12:50,-1.90,0.00,0.00,361.00,98.70,-2.10,262.00,3.20,6.80,856.60,-,1014.60,1466.90,-,-,-,-,-,-,-,BE,
NEU,2024-03-07 12:50,6.60,0.00,5.00,496.00,66.10,0.70,85.00,15.50,22.70,960.20,1018.30,1017.40,-,-,-,-,-,-,-,-,NE,
CGI,2024-03-07 12:50,8.70,0.00,10.00,658.00,60.40,1.50,96.00,9.00,13.70,962.40,1017.00,1016.50,-,-,-,-,-,-,-,-,VD,
OBR,2024-03-07 12:50,7.90,0.00,-,-,66.40,2.00,41.00,10.40,18.40,969.10,1018.20,1017.50,-,-,-,-,-,-,-,-,SG,
AEG,2024-03-07 12:50,-,-,-,-,-,-,282.00,2.20,5.00,-,-,-,-,-,-,-,-,-,-,-,ZG,
ORO,2024-03-07 12:50,5.60,0.00,10.00,685.00,70.60,0.70,354.00,13.70,19.80,919.90,-,1015.80,1471.00,-,-,-,-,-,-,-,VD,
BEH,2024-03-07 12:50,-4.60,0.00,10.00,724.00,70.10,-9.20,330.00,2.50,4.70,769.90,-,1013.70,1473.20,-,-,-,-,-,-,-,GR,
PAY,2024-03-07 12:50,6.10,0.00,1.00,316.00,64.80,0.00,13.00,6.10,14.00,959.50,1018.30,1017.20,-,-,-,-,-,-,-,-,VD,
PIL,2024-03-07 12:50,-0.50,0.00,10.00,690.00,46.50,-10.60,248.00,28.80,36.00,784.40,-,1012.80,1455.90,-,-,-,-,-,-,-,OW,
PIO,2024-03-07 12:50,8.40,0.00,0.00,231.00,46.10,-2.50,92.00,15.80,23.00,900.90,-,1014.50,1469.20,-,-,-,-,-,-,-,TI,
COV,2024-03-07 12:50,-10.40,0.00,0.00,624.00,68.40,-15.10,274.00,14.00,18.40,673.20,-,1011.40,-,3000.50,-,-,-,-,-,-,GR,
PMA,2024-03-07 12:50,-6.10,0.00,10.00,707.00,82.90,-8.50,243.00,13.30,21.60,730.30,-,1012.30,-,3000.10,-,-,-,-,-,-,GR,
PLF,2024-03-07 12:50,2.50,0.00,0.00,400.00,76.70,-1.20,288.00,4.00,8.30,896.10,-,1015.60,1468.90,-,-,-,-,-,-,-,FR,
ROB,2024-03-07 12:50,7.80,0.00,7.00,664.00,49.60,-2.10,225.00,22.00,32.00,891.40,-,1014.70,1470.10,-,-,-,-,-,-,-,GR,
PUY,2024-03-07 12:50,7.50,0.00,10.00,635.00,60.30,0.30,185.00,4.70,9.00,962.80,1017.40,1016.60,-,-,-,-,-,-,-,-,VD,
QUI,2024-03-07 12:50,-,-,-,-,-,-,271.00,22.00,29.20,967.10,-,1016.70,-,-,-,-,-,-,-,-,SG,
ROE,2024-03-07 12:50,1.10,0.00,0.00,470.00,57.20,-6.40,301.00,1.40,2.90,806.10,-,1014.30,1467.20,-,-,-,-,-,-,-,TI,
RUE,2024-03-07 12:50,4.30,0.00,0.00,159.00,82.70,1.60,56.00,8.30,15.10,945.70,-,1017.40,1472.60,-,-,-,-,-,-,-,BL,
SBE,2024-03-07 12:50,2.20,0.00,0.00,317.00,62.70,-4.20,129.00,10.80,24.10,832.50,-,1014.90,1471.50,-,-,-,-,-,-,-,GR,
HAI,2024-03-07 12:50,3.10,0.00,0.00,97.00,99.20,3.00,81.00,10.10,14.80,933.40,-,1017.20,1471.50,-,-,-,-,-,-,-,TG,
SAM,2024-03-07 12:50,2.70,0.00,10.00,698.00,53.20,-5.90,214.00,17.30,26.30,824.30,-,1013.60,1460.50,-,-,-,-,-,-,-,GR,
