Station Category,Station Type,ID Hash,WMO ID,Alternative IDs,Ort,"Location Lat,Lon",elevation,id_meteomatics
SYNOP,SYNO,3074060886,,SRN,Sarnen,"46.8915,8.24668",475.0,"46.8915,8.24668"
SYNOP,SYNO,3082095726,,OPF,Opfikon,"47.4376,8.56034",424.0,"47.4376,8.56034"
SYNOP,SYNO,3110067512,,OTE,Otelfingen,"47.4606,8.38716",435.0,"47.4606,8.38716"
SYNOP,SYNO,3126334095,67120.0,AIG,Aigle,"46.3267,6.92447",381.0,"46.3267,6.92447"
SYNOP,SYNO,3128746702,,ERB,Erlenbach im Simmental,"46.6585,7.52404",732.0,"46.6585,7.52404"
SYNOP,SYNO,3146227951,,SKO,Stallikon,"47.3046,8.50102",754.0,"47.3046,8.50102"
SYNOP,SYNO,3168538849,67080.0,ORO,Oron,"46.5723,6.85824",828.0,"46.5723,6.85824"
SYNOP,SYNO,3169410080,,SPA,Sempach,"47.1353,8.1957",532.0,"47.1353,8.1957"
SYNOP,SYNO,3188562132,66060.0,CRM,Cressier,"47.0476,7.05915",430.0,"47.0476,7.05915"
SYNOP,SYNO,3190420479,,EIT,Eigenthal,"46.9833,8.21862",1114.0,"46.9833,8.21862"
SYNOP,SYNO,3213460556,66350.0,KOP,Koppigen,"47.1189,7.6055",485.0,"47.1189,7.6055"
SYNOP,SYNO,3217642696,67400.0,TIT,Titlis,"46.7705,8.42581",3040.0,"46.7705,8.42581"
SYNOP,SYNO,3220206652,,ZNZ,Zernez,"46.6979,10.0896",1470.0,"46.6979,10.0896"
SYNOP,SYNO,3232329973,,VSGDX,Barrage Grande Dixence,"46.0837,7.40314",2162.0,"46.0837,7.40314"
SYNOP,SYNO,3238020704,,SUA,Schaan,"47.187,9.49069",444.0,"47.187,9.49069"
SYNOP,SYNO,3244437286,,AMW,Amriswil,"47.5501,9.32248",420.0,"47.5501,9.32248"
SYNOP,SYNO,3253195156,66730.0,WAE,Wädenswil,"47.221,8.67771",485.0,"47.221,8.67771"
SYNOP,SYNO,3259762546,,ZUB,Zugerberg,"47.144,8.53312",927.0,"47.144,8.53312"
SYNOP,SYNO,3261757420,,THS,Thusis,"46.7094,9.44171",672.0,"46.7094,9.44171"
SYNOP,SYNO,3274749924,,LAN,Landquart,"46.9645,9.57643",537.0,"46.9645,9.57643"
SYNOP,SYNO,3297847882,67710.0,SBO,Stabio,"45.8434,8.93236",351.0,"45.8434,8.93236"
SYNOP,SYNO,3326329797,,VSFLY,La Fouly,"45.9366,7.09636",1564.0,"45.9366,7.09636"
SYNOP,SYNO,3332059473,,SED,Sedrun,"46.6723,8.74519",1429.0,"46.6723,8.74519"
SYNOP,SYNO,3335895592,,MST,Monstein,"46.7114,9.7724",1633.0,"46.7114,9.7724"
SYNOP,SYNO,3346685328,,CMD,Camedo,"46.1553,8.6075",590.0,"46.1553,8.6075"
SYNOP,SYNO,3370076160,66690.0,LAE,Lägern,"47.4819,8.39722",845.0,"47.4819,8.39722"
SYNOP,SYNO,3377773210,,SWZ,Schwyz,"47.0204,8.64412",479.0,"47.0204,8.64412"
SYNOP,SYNO,3378759386,66550.0,ENG,Engelberg,"46.8216,8.41051",1036.0,"46.8216,8.41051"
SYNOP,SYNO,3382874572,66450.0,RUE,Rünenberg,"47.4346,7.87941",611.0,"47.4346,7.87941"
SYNOP,SYNO,3385735654,,WIE,Wasen im Emmental,"47.0454,7.80513",770.0,"47.0454,7.80513"
SYNOP,SYNO,3393065856,,MOS,Morbio Superiore,"45.8615,9.02907",594.0,"45.8615,9.02907"
SYNOP,SYNO,3400391368,67800.0,WFJ,Weissfluhjoch,"46.8333,9.80639",2691.0,"46.8333,9.80639"
SYNOP,SYNO,3402795720,,VSNEN,Nendaz,"46.1221,7.31141",1938.0,"46.1221,7.31141"
SYNOP,SYNO,3426510460,67310.0,THU,Thun,"46.7499,7.58522",570.0,"46.7499,7.58522"
SYNOP,SYNO,3472602945,,BEX,Bex,"46.2442,6.99529",402.0,"46.2442,6.99529"
SYNOP,SYNO,3496110604,67030.0,CHB,Les Charbonnières,"46.6701,6.31243",1045.0,"46.6701,6.31243"
SYNOP,SYNO,3500664095,,SBA,Saas Balen,"46.16,7.92454",1461.0,"46.16,7.92454"
SYNOP,SYNO,3503655790,,FLI,Flims,"46.8337,9.28329",1050.0,"46.8337,9.28329"
SYNOP,SYNO,3508890735,,SAB,Sangernboden,"46.7163,7.34996",1035.0,"46.7163,7.34996"
SYNOP,SYNO,3533945868,,AVA,Les Avants,"46.4569,6.94244",1036.0,"46.4569,6.94244"
SYNOP,SYNO,3536346116,,PON,Pontresina,"46.5094,9.88782",1787.0,"46.5094,9.88782"
