Kanton,Koordinaten,id_meteostat,country,wmo,icao,elevation,timezone,id_openweathermap,Ort,Region
,"45.750069,8.67133",,IT,,,,,3173573.0,Mercallo,Varese
,"45.75058,9.28534",,IT,,,,,6535344.0,Bulciago,Lecco
,"45.751259,7.64861",,IT,,,,,3168712.0,Saint-Vincent,Aostatal
,"45.751659,7.61751",,IT,,,,,3178905.0,Chatillon,Aostatal
,"45.751781,9.21974",,IT,,,,,3174439.0,Lurago d'Erba,Como
,"45.752281,9.02454",,IT,,,,,6535117.0,Cassina Rizzardi,Como
,"45.75256,7.55531",,IT,,,,,6534356.0,Saint-Denis,Aostatal
,"45.753181,8.87454",,IT,,,,,3179407.0,Castiglione Olona,Varese
,"45.754059,7.3472",,IT,,,,,6534761.0,Saint-Christophe,Aostatal
,"45.754181,8.89674",,IT,,,,,3164608.0,Venegono Superiore,Varese
,"45.755981,8.97794",,IT,,,,,3172032.0,Oltrona di San Mamette,Como
,"45.756279,9.07264",,IT,,,,,6534417.0,Casnate Con Bernate,Como
,"45.756962,7.037",,IT,,,,,3172600.0,Morgex,Aostatal
,"45.757759,7.72961",,IT,,,,,3181467.0,Brusson,Aostatal
,"45.758781,9.23954",,IT,,,,,6535126.0,Lambrugo,Como
,"45.759972,8.77043",,IT,,,,,6535100.0,Crosio della Valle,Varese
,"45.762489,8.61654",,IT,,,,,3165975.0,Taino,Varese
,"45.762878,9.03544",,IT,,,,,6535130.0,Luisago,Como
,"45.762981,9.11104",,IT,,,,,6535754.0,Senna Comasco,Como
,"45.76326,7.5346",,IT,,,,,6534357.0,Verrayes,Aostatal
,"45.76416,6.98579",,IT,,,,,3169851.0,Prè Saint Didier,Aostatal
,"45.764481,8.82813",,IT,,,,,6535111.0,Morazzone,Varese
,"45.76458,8.94354",,IT,,,,,6534418.0,Castelnuovo Bozzente,Como
,"45.76498,8.79533",,IT,,,,,6535093.0,Brunello,Varese
,"45.76667,7.41667",,IT,,,,,3182996.0,Valle d'Aosta,Aostatal
,"45.76667,9.0",,IT,,,,,3174436.0,Lurate Caccivio,Como
,"45.766979,9.27774",,IT,,,,,6535349.0,Costa Masnaga,Lecco
,"45.767872,8.74133",,IT,,,,,6535097.0,Casale Litta,Varese
,"45.768478,9.19544",,IT,,,,,3183010.0,Anzano del Parco,Como
,"45.768978,9.12764",,IT,,,,,6535115.0,Capiago-Intimiano-Olmeda,Como
,"45.769779,9.18204",,IT,,,,,6535114.0,Alzate Brianza,Como
,"45.770679,8.99784",,IT,,,,,3174435.0,Lurate Caccivio,Como
,"45.770969,8.67623",,IT,,,,,3178247.0,Comabbio,Varese
,"45.77338,9.30144",,IT,,,,,6534828.0,Garbagnate Monastero,Lecco
,"45.774071,8.70403",,IT,,,,,6534924.0,Varano Borghi,Varese
,"45.77507,7.82661",,IT,,,,,3175837.0,Gressoney-Saint-Jean,Aostatal
,"45.775181,9.05784",,IT,,,,,3175936.0,Grandate,Como
,"45.775551,8.57861",,IT,,,,,3183067.0,Angera,Varese
,"45.775681,8.85773",,IT,,,,,6534397.0,Lozza,Varese
,"45.775982,8.88584",,IT,,,,,3164657.0,Vedano Olona,Varese
,"45.776482,9.02664",,IT,,,,,3164227.0,Villa Guardia,Como
,"45.777382,9.18174",,IT,,,,,3171912.0,Orsenigo,Como
,"45.777981,8.77343",,IT,,,,,6534919.0,Daverio,Varese
,"45.778881,8.82893",,IT,,,,,3166937.0,Gazzada Schianno,Varese
,"45.778881,9.20014",,IT,,,,,6534926.0,Alserio,Como
,"45.779961,7.2964",,IT,,,,,6535073.0,Gignod,Aostatal
,"45.780182,9.23024",,IT,,,,,6534477.0,Nobile-Monguzzo,Como
,"45.78038,8.79313",,IT,,,,,3182607.0,Azzate,Varese
,"45.78038,9.30744",,IT,,,,,3173205.0,Molteno,Lecco
,"45.780682,8.94414",,IT,,,,,6534463.0,Beregazzo con Figliaro,Como
,"45.78167,8.69233",,IT,,,,,3165772.0,Ternate,Varese
,"45.782181,8.92234",,IT,,,,,6535747.0,Binago,Varese
,"45.78228,8.81063",,IT,,,,,6535094.0,Buguggiate,Varese
,"45.782379,9.27404",,IT,,,,,6535358.0,Rogeno,Lecco
,"45.783329,7.05",,IT,,,,,3178911.0,Chanton,Aostatal
,"45.783779,9.04244",,IT,,,,,3174515.0,Montano Lucino,Como
,"45.783958,7.3131",,IT,,,,,3169075.0,La Cretaz-Roisan,Aostatal
,"45.784882,8.77043",,IT,,,,,6535104.0,Galliate Lombardo,Varese
,"45.785381,8.96764",,IT,,,,,3172067.0,Olgiate Comasco,Como
,"45.785782,8.73563",,IT,,,,,6535107.0,Inarzo,Varese
,"45.786381,9.14374",,IT,,,,,6534428.0,Montorfano,Como
,"45.787182,9.24404",,IT,,,,,6534426.0,Merone,Como
,"45.788681,8.75083",,IT,,,,,6534439.0,Bodio Lomnago,Varese
,"45.78968,8.93314",,IT,,,,,6534452.0,Solbiate,Como
,"45.790779,8.88193",,IT,,,,,3174141.0,Malnate,Varese
,"45.792881,9.12024",,IT,,,,,6535128.0,Lipomo,Como
,"45.793861,6.97139",,IT,,,,,3177872.0,Courmayeur,Aostatal
,"45.79488,9.16364",,IT,,,,,6534925.0,Albese Con Cassano,Como
,"45.795879,8.73483",,IT,,,,,6535098.0,Cazzago Brabbia,Varese
,"45.797329,8.57105",,IT,,,,,3169612.0,Ranco,Varese
,"45.799271,8.64333",,IT,,,,,6535095.0,Cadrezzate,Varese
,"45.799999,7.9",,IT,,,,,3171353.0,Peccia,Novara - Piemont
,"45.799999,8.8",,IT,,,,,3164697.0,Provincia di Varese,Varese
,"45.800381,9.18504",,IT,,,,,6534462.0,Albavilla,Como
,"45.800678,9.14054",,IT,,,,,6535756.0,Tavernerio,Como
,"45.80138,9.00314",,IT,,,,,6534474.0,Gironico al Piano,Como
,"45.80228,9.29074",,IT,,,,,3181677.0,Bosisio Parini,Lecco
,"45.804272,8.67143",,IT,,,,,3165296.0,Travedona Monate,Varese
,"45.80558,8.93924",,IT,,,,,6535113.0,Albiolo,Como
,"45.80616,7.5698",,IT,,,,,3165526.0,Torgnon,Aostatal
,"45.80666,7.58881",,IT,,,,,3183030.0,Antey-Saint-Andrè,Aostatal
,"45.80756,7.2714",,IT,,,,,6535069.0,Allein,Aostatal
,"45.808681,9.04744",,IT,,,,,6534450.0,San Fermo della Battaglia,Como
,"45.809582,9.03284",,IT,,,,,6534927.0,Cavallasca,Como
,"45.809582,9.23124",,IT,,,,,3177372.0,Erba,Como
,"45.809681,8.96434",,IT,,,,,6534473.0,Faloppio,Como
,"45.809959,7.61871",,IT,,,,,3175210.0,La Magdeleine,Aostatal
,"45.809978,9.08744",,IT,,,,,3178229.0,Como,Como
,"45.810879,9.00874",,IT,,,,,6534445.0,Parè,Como
,"45.811081,8.91734",,IT,,,,,6535749.0,Cagno,Varese
,"45.813881,9.28184",,IT,,,,,3169746.0,Pusiano,Como
,"45.814281,9.25144",,IT,,,,,6535129.0,Longone al Segrino,Como
,"45.8148,8.61294",,IT,,,,,3175406.0,Ispra,Varese
,"45.81506,7.68911",,IT,,,,,6534419.0,Ayas,Aostatal
,"45.815079,8.71003",,IT,,,,,3182069.0,Biandronno,Varese
,"45.815182,8.93064",,IT,,,,,6535758.0,Valmorea,Como
,"45.815281,8.99484",,IT,,,,,6534404.0,Drezzo,Como
,"45.816669,8.03032",,IT,,,,,3173212.0,Mollia,Novara - Piemont
,"45.81678,9.29954",,IT,,,,,6535694.0,Cesana Brianza,Lecco
,"45.81678,9.31154",,IT,,,,,6535361.0,Suello,Lecco
,"45.818081,9.26984",,IT,,,,,6534471.0,Eupilio,Como
,"45.81916,7.306",,IT,,,,,6535072.0,Doues,Aostatal
,"45.82056,7.2293",,IT,,,,,3177330.0,Etroubles,Aostatal
,"45.82066,8.55964",,IT,,,,,3174847.0,Lesa,Novara - Piemont
,"45.82098,9.09434",,IT,,,,,3181484.0,Brunate,Como
,"45.821362,6.72817",,FR,,,,,3001336.0,Les Contamines-Montjoie,
,"45.822479,8.89593",,IT,,,,,6535096.0,Cantello,Varese
,"45.82338,8.95964",,IT,,,,,3165063.0,Uggiate Trevano,Como
,"45.823978,8.91523",,IT,,,,,6535751.0,Rodero,Varese
,"45.824169,8.54133",,IT,,,,,6535833.0,Massino Visconti,Novara - Piemont
,"45.82476,7.2156",,IT,,,,,3168715.0,Saint-Oyen,Aostatal
,"45.82486,7.3255",,IT,,,,,3164769.0,Valpelline,Aostatal
,"45.825779,8.68773",,IT,,,,,6535092.0,Bregano,Varese
,"45.82658,9.22544",,IT,,,,,3170253.0,Ponte Lambro,Como
,"45.827278,8.64623",,IT,,,,,3181591.0,Brebbia,Varese
,"45.827881,8.67553",,IT,,,,,6534398.0,Malgesso,Varese
,"45.828281,9.24554",,IT,,,,,6535132.0,Proserpio,Como
,"45.828838,9.01656",,CH,,,,,7285510.0,Chiasso,Mendrisiotto
,"45.829079,8.82193",,IT,,,,,3164699.0,Varese,Varese
,"45.82967,7.82321",,IT,,,,,3175838.0,Gressoney-La-Trinitè,Aostatal
,"45.830971,7.95661",,IT,,,,,6535434.0,Riva Valdobbia,Novara - Piemont
,"45.832031,9.03119",,CH,,,,,2661176.0,Chiasso,Mendrisiotto
,"45.832279,8.98364",,IT,,,,,6535752.0,Ronago,Como
,"45.832378,9.23304",,IT,,,,,6535118.0,Castelmarte,Como
,"45.832481,8.78333",,IT,,,,,6535744.0,Casciago,Varese
,"45.834278,8.94274",,IT,,,,,6534409.0,Bizzarone,Como
,"45.835979,8.69683",,IT,,,,,6535090.0,Bardello,Varese
,"45.83868,9.23144",,IT,,,,,6534416.0,Caslino d'Erba,Como
,"45.83886,7.61871",,IT,,,,,6534422.0,Chamois,Aostatal
,"45.838871,8.57143",,IT,,,,,3182236.0,Belgirate,Novara - Piemont
,"45.839581,8.77193",,IT,,,,,6535108.0,Luvinate,Varese
,"45.84008,8.71983",,IT,,,,,3176261.0,Gavirate,Varese
,"45.840481,8.75683",,IT,,,,,6534909.0,Barasso,Varese
,"45.840729,8.98236",,CH,,,,,2659433.0,Novazzano,Mendrisiotto
,"45.84108,9.06704",,IT,,,,,3179067.0,Cernobbio,Como
,"45.842178,9.10514",,IT,,,,,6534411.0,Blevio,Como
,"45.842468,8.53173",,IT,,,,,6534834.0,Brovello-Carpugnino,Novara - Piemont
,"45.842812,8.97852",,CH,,,,,7286663.0,Novazzano,Mendrisiotto
,"45.84306,9.00789",,CH,,,,,7285140.0,Balerna,Mendrisiotto
,"45.843281,8.74363",,IT,,,,,3178237.0,Comerio,Varese
TI,"45.843444,8.932364",,,,,,,,Stabio,Mendrisiotto
,"45.84388,9.04754",,IT,,,,,3173787.0,Maslianico,Como
,"45.847038,9.03651",,CH,,,,,7287403.0,Vacallo,Mendrisiotto
,"45.84766,8.93294",,CH,,,,,7287209.0,Stabio,Mendrisiotto
,"45.84798,8.83663",,IT,,,,,3175521.0,Induno Olona,Varese
,"45.84882,9.01416",,CH,,,,,2661637.0,Balerna,Mendrisiotto
,"45.84948,9.27724",,IT,,,,,3180754.0,Canzo,Como
,"45.849758,7.3106",,IT,,,,,6535076.0,Ollomont,Aostatal
,"45.85,8.9333",06771,CH,06771,,353.0,Europe/Zurich,,Stabio,Mendrisiotto
,"45.850971,7.93691",,IT,,,,,3183369.0,Alagna Valsesia,Novara - Piemont
,"45.85099,8.93918",,CH,,,,,2658521.0,Stabio,Mendrisiotto
,"45.851158,7.383",,IT,,,,,3171763.0,Oyace,Aostatal
,"45.851978,8.66923",,IT,,,,,3182111.0,Besozzo,Varese
,"45.853409,9.01644",,CH,,,,,2659597.0,Morbio Inferiore,Mendrisiotto
,"45.854881,9.11584",,IT,,,,,3165498.0,Torno,Como
,"45.855782,8.86823",,IT,,,,,6534244.0,Arcisate,Varese
,"45.858101,8.63088",,IT,,,,,6535110.0,Monvalle,Varese
,"45.85878,9.15894",,IT,,,,,6534472.0,Faggeto Lario,Como
,"45.85907,8.06282",,IT,,,,,3169365.0,Rimasco,Novara - Piemont
,"45.859982,9.09844",,IT,,,,,6534427.0,Moltrasio,Como
,"45.86058,9.26964",,IT,,,,,3182720.0,Asso,Como
,"45.860611,9.00932",,CH,,,,,2661253.0,Castel San Pietro,Mendrisiotto
,"45.860668,8.50992",,IT,,,,,3176116.0,Gignese,Novara - Piemont
,"45.861481,8.95446",,CH,,,,,2659888.0,Ligornetto,Mendrisiotto
,"45.862782,8.93083",,IT,,,,,6534915.0,Clivio,Varese
,"45.862881,8.68823",,IT,,,,,3178521.0,Cocquio,Varese
,"45.863121,8.95464",,CH,,,,,7286353.0,Ligornetto,Mendrisiotto
,"45.865921,8.99931",,CH,,,,,6458894.0,Mendrisio District,Mendrisiotto
,"45.8667,9.0667",16072,IT,16072,LIMO,1319.0,Europe/Rome,,Monte Bisbino,Como
,"45.866779,9.24974",,IT,,,,,3169454.0,Rezzago,Como
,"45.867409,8.9821",,CH,,,,,2659689.0,Mendrisio,Mendrisiotto
,"45.8689,7.1708",06717,CH,06717,,2472.0,Europe/Zurich,,Grand St. Bernard / Grand Saint Bernard,Val d‘Entremont-Val Ferret
VS,"45.869092,7.170683",,,,,,,,Col du Grand St-Bernard,Val d‘Entremont-Val Ferret
,"45.871479,8.86843",,IT,,,,,6535091.0,Bisuschio,Varese
,"45.871681,8.91043",,IT,,,,,3164373.0,Viggiù,Varese
,"45.87178,9.12214",,IT,,,,,6534414.0,Carate Urio,Como
,"45.872379,9.23884",,IT,,,,,3181275.0,Caglio,Como
,"45.87347,8.92436",,IT,,,,,6534403.0,Saltrio,Varese
,"45.873562,7.4231",,IT,,,,,3182019.0,Bionaz,Aostatal
,"45.87508,8.63333",,IT,,,,,6535112.0,Sangiano,Varese
,"45.875881,8.62063",,IT,,,,,6534923.0,Leggiuno,Varese
,"45.87606,8.94103",,CH,,,,,2661701.0,Arzo,Mendrisiotto
,"45.876068,7.6243",,IT,,,,,6534766.0,Valtournenche,Aostatal
,"45.87698,8.67703",,IT,,,,,3176233.0,Gemonio,Varese
,"45.87738,9.29884",,IT,,,,,6534484.0,Valbrona,Como
,"45.877781,9.24874",,IT,,,,,3166355.0,Sormano,Como
,"45.878479,9.15794",,IT,,,,,3170418.0,Pognana Lario,Como
,"45.87888,8.65793",,IT,,,,,3180579.0,Caravate,Varese
,"45.880009,8.93989",,CH,,,,,7285106.0,Arzo,Mendrisiotto
,"45.881481,8.71563",,IT,,,,,6534402.0,Orino,Varese
,"45.881981,9.26644",,IT,,,,,6534933.0,Lasnigo,Como
,"45.882332,9.01528",,CH,,,,,7285441.0,Castel San Pietro,Mendrisiotto
,"45.883331,7.63333",,IT,,,,,3177834.0,Crépin,Aostatal
,"45.88348,8.53182",,IT,,,,,3166101.0,Stresa,Novara - Piemont
,"45.884682,8.70853",,IT,,,,,6534908.0,Azzio,Varese
,"45.885971,7.99901",,IT,,,,,3169366.0,Rima,Novara - Piemont
,"45.886219,8.99291",,CH,,,,,7286483.0,Mendrisio,Mendrisiotto
,"45.88768,9.14144",,IT,,,,,3175262.0,Laglio,Como
,"45.888981,8.89103",,IT,,,,,3182116.0,Besano,Varese
,"45.889381,8.78963",,IT,,,,,3181523.0,Brinzio,Varese
,"45.89011,6.79613",,FR,,,,,3000622.0,Les Houches,Haute-Savoie
,"45.892899,6.71381",,FR,,,,,2979698.0,Saint-Gervais-les-Bains,Haute-Savoie
,"45.893581,8.75763",,IT,,,,,6534914.0,Castello Cabiaglio,Varese
,"45.89418,8.68373",,IT,,,,,6534911.0,Brenta,Varese
,"45.896179,8.73413",,IT,,,,,6535102.0,Cuvio,Varese
,"45.89669,6.63444",,FR,,,,,3024142.0,Combloux,Haute-Savoie
,"45.89698,8.66013",,IT,,,,,3178611.0,Cittiglio,Varese
,"45.900002,6.71667",,FR,,,,,6443036.0,Saint-Gervais-les-Bains,Haute-Savoie
,"45.900002,8.81667",,IT,,,,,3176328.0,Ganna,Varese
,"45.900478,9.33414",,IT,,,,,3183582.0,Abbadia Lariana,Lecco
,"45.902279,8.82333",,IT,,,,,3164911.0,Valganna,Varese
,"45.902679,8.89923",,IT,,,,,3170103.0,Porto Ceresio,Varese
,"45.903412,8.97104",,CH,,,,,2659008.0,Riva San Vitale,Mendrisiotto
,"45.904579,9.18054",,IT,,,,,6535760.0,Zelbio,Como
,"45.905079,8.70883",,IT,,,,,3180151.0,Casalzuigno,Varese
,"45.906078,8.73333",,IT,,,,,6535101.0,Cuveglio,Varese
,"45.908379,8.49962",,IT,,,,,3182262.0,Baveno,Novara - Piemont
,"45.908379,9.18214",,IT,,,,,3164642.0,Veleso,Como
,"45.908581,8.04967",,IT,,,,,3180552.0,Carcoforo,Novara - Piemont
,"45.908878,8.62036",,IT,,,,,3175003.0,Laveno,Varese
,"45.90918,9.13024",,IT,,,,,3181536.0,Brienno,Como
,"45.910118,8.96376",,CH,,,,,7286918.0,Riva San Vitale,Mendrisiotto
,"45.910881,8.79553",,IT,,,,,6534910.0,Bedero Valcuvia,Varese
,"45.911282,9.26514",,IT,,,,,3182338.0,Barni,Como
,"45.91238,9.15674",,IT,,,,,6534429.0,Nesso,Como
,"45.912762,8.61856",,IT,,,,,3175004.0,Laveno,Varese
,"45.913979,8.73763",,IT,,,,,6534920.0,Duno,Varese
,"45.914181,6.6474",,FR,,,,,3021233.0,Domancy,Haute-Savoie
,"45.91478,8.87923",,IT,,,,,6534916.0,Cuasso al Monte,Varese
,"45.91547,7.10508",,CH,,,,,2660795.0,Ferret,Val d‘Entremont-Val Ferret
,"45.91568,8.77273",,IT,,,,,3169614.0,Rancio Valcuvia,Varese
,"45.916672,6.68333",,FR,,,,,6443019.0,Passy,Haute-Savoie
,"45.9167,6.8667",07499,FR,07499,,1029.0,Europe/Paris,,Chamonix / Chamonix Mont Blanc,Haute-Savoie
,"45.917782,8.78113",,IT,,,,,6534399.0,Masciago Primo,Varese
,"45.919182,9.31934",,IT,,,,,3174107.0,Mandello del Lario,Lecco
,"45.919579,7.21275",,CH,,,,,7285311.0,Bourg-Saint-Pierre,Val d‘Entremont-Val Ferret
,"45.92028,6.68765",,FR,,,,,2988393.0,Passy,Haute-Savoie
,"45.920979,9.26264",,IT,,,,,6535131.0,Magreglio,Como
,"45.92136,8.55183",,IT,,,,,6457398.0,Verbania,Novara - Piemont
,"45.9221,8.98544",,CH,,,,,2659696.0,Melano,Mendrisiotto
