id_openweathermap,Ort,country,Koordinaten
2658233,Unterterzen,CH,"47.112782,9.25306"
2658237,Untersiggenthal,CH,"47.502129,8.25554"
2658240,Unterseen,CH,"46.685299,7.84722"
2658243,Unterschächen,CH,"46.862808,8.76923"
2658244,Unterlunkhofen,CH,"47.321201,8.38102"
2658248,Unterkulm,CH,"47.309978,8.11371"
2658249,Illnau / Unter-Illnau,CH,"47.407871,8.72607"
2658250,Unteriberg,CH,"47.049999,8.78333"
2658251,Unter-Gomerkinden,CH,"46.98822,7.64869"
2658252,Untererlinsbach,CH,"47.400002,8.0"
2658253,Unterengstringen,CH,"47.41396,8.44761"
2658256,Ehrendingen,CH,"47.502499,8.34729"
2658259,Unterbilten,CH,"47.15163,9.01963"
2658262,Unterbach,CH,"46.737389,8.11006"
2658264,Unterägeri,CH,"47.13644,8.5853"
2658266,Undervelier,CH,"47.303082,7.22274"
2658268,Ulrichen,CH,"46.506409,8.30475"
2658269,Uitikon,CH,"47.36911,8.45699"
2658271,Uhwiesen,CH,"47.670738,8.63542"
2658272,Ufhusen,CH,"47.11647,7.89624"
2658273,Uffikon,CH,"47.21096,8.01808"
2658276,Uetikon,CH,"47.264408,8.67925"
2658277,Uetendorf,CH,"46.773918,7.57251"
2658279,Uerkheim,CH,"47.302891,8.02371"
2658280,Uerikon,CH,"47.236721,8.7573"
2658281,Ueberstorf,CH,"46.865871,7.30998"
2658283,Udligenswil,CH,"47.09005,8.40335"
2658284,Twann,CH,"47.0942,7.15699"
2658287,Turtmann,CH,"46.301479,7.70195"
2658288,Turgi,CH,"47.492008,8.25412"
2658289,Turbenthal,CH,"47.436329,8.84629"
2658290,Turahus,CH,"46.633331,9.28333"
2658293,Tuggen,CH,"47.202911,8.94366"
2658296,Tschiertschen,CH,"46.817661,9.60638"
2658299,Trun,CH,"46.74292,8.98716"
2658300,Trun,CH,"46.76667,8.96667"
2658302,Trüllikon,CH,"47.635391,8.68919"
2658303,Trubschachen,CH,"46.922279,7.8452"
2658304,Trübbach,CH,"47.073399,9.47828"
2658305,Trub,CH,"46.941681,7.87996"
2658306,Troistorrents,CH,"46.228901,6.91589"
2658307,Trogen,CH,"47.407822,9.46498"
2658310,Trimstein,CH,"46.904812,7.5835"
2658311,Trimmis,CH,"46.899071,9.56236"
2658312,Trimbach,CH,"47.365601,7.8868"
2658315,Triengen,CH,"47.233749,8.07729"
2658317,Treyvaux,CH,"46.727451,7.13772"
2658318,Treyfayes,CH,"46.65406,6.95327"
2658319,Trey,CH,"46.770199,6.92645"
2658320,Tretsch,CH,"46.966671,9.55"
2658324,Trélex,CH,"46.415379,6.20813"
2658328,Travers,CH,"46.940182,6.67595"
2658329,Trasadingen,CH,"47.668621,8.42995"
2658331,Tramelan,CH,"47.22393,7.0995"
2658332,Trachselwald,CH,"47.016991,7.73639"
2658339,Tössriederen,CH,"47.564701,8.54465"
2658340,Tössegg,CH,"47.437092,8.83802"
2658344,Töss (Kreis 4),CH,"47.478901,8.70215"
2658351,Tomils,CH,"46.761768,9.44239"
2658353,Toffen,CH,"46.86031,7.49216"
2658355,Tobel,CH,"47.508041,9.03025"
2658356,Titterten,CH,"47.40213,7.71617"
2658365,Tiefencastel,CH,"46.660141,9.57883"
2658370,Ticino,CH,"46.25,8.58333"
2658371,Thusis,CH,"46.697239,9.43938"
2658372,Kanton Thurgau,CH,"47.583328,9.25"
2658376,Thundorf,CH,"47.54594,8.96358"
2658377,Thun,CH,"46.751179,7.62166"
2658378,Thörishaus,CH,"46.893871,7.35131"
2658379,Thorberg,CH,"47.001289,7.56544"
2658380,Bezirk Thierstein,CH,"47.383331,7.55"
2658381,Thierrens,CH,"46.703289,6.75624"
2658382,Thierachern,CH,"46.753189,7.57442"
2658386,Therwil,CH,"47.501171,7.55286"
2658387,Thayngen,CH,"47.747169,8.70724"
2658388,Thalwil,CH,"47.291752,8.56351"
2658394,Teuffenthal,CH,"46.767658,7.71142"
2658395,Teufenthal,CH,"47.328629,8.12074"
2658396,Freienstein-Teufen,CH,"47.549999,8.55"
2658397,Teufen,CH,"47.3908,9.38644"
2658398,Tesserete,CH,"46.068081,8.9658"
2658402,Termen,CH,"46.32832,8.02221"
2658406,Bogn Tenigia,CH,"46.690319,8.95701"
2658410,Tegerfelden,CH,"47.55809,8.28914"
2658411,Tecknau,CH,"47.451321,7.88399"
2658415,Tavannes,CH,"47.220791,7.19759"
2658417,Täuffelen,CH,"47.065239,7.19704"
2658418,Täsch,CH,"46.066929,7.77826"
2658421,Tarasp,CH,"46.783329,10.25"
2658424,Tann,CH,"47.268978,8.85024"
2658426,Tanay,CH,"46.345032,6.83041"
2658427,Tamins,CH,"46.829639,9.40648"
2658431,Tagliada,CH,"46.206619,9.06024"
2658432,Tägerwilen,CH,"47.655941,9.13167"
2658433,Tafers,CH,"46.814831,7.21852"
2658434,Switzerland,CH,"47.000156,8.014269"
2658440,Sursee,CH,"47.166672,8.1"
2658448,Sundlauenen,CH,"46.686272,7.79312"
2658449,Sumiswald,CH,"47.02747,7.74526"
2658452,Sulz,CH,"47.536018,8.09628"
2658455,Sulgen,CH,"47.537701,9.18497"
2658457,Suhr,CH,"47.371719,8.07967"
2658462,Suchy,CH,"46.723511,6.59935"
2658464,Subingen,CH,"47.198521,7.61949"
2658468,Stuckishaus,CH,"46.973061,7.43616"
2658469,Strengelbach,CH,"47.279171,7.92895"
2658472,Stössen,CH,"46.783329,7.4"
2658474,Stoos,CH,"46.976742,8.66323"
2658477,Stilli,CH,"47.5172,8.23159"
2658478,Stettlen,CH,"46.958351,7.52508"
2658479,Stettfurt,CH,"47.52446,8.95509"
2658480,Sternenberg,CH,"47.383331,8.91667"
2658483,Steinhausen,CH,"47.195099,8.48581"
2658484,Steinhaus,CH,"46.833881,7.34219"
2658486,Steinerberg,CH,"47.052059,8.58399"
2658488,Steinen,CH,"47.049759,8.61214"
2658489,Stein am Rhein,CH,"47.659328,8.85964"
2658490,Stein,CH,"47.544029,7.95256"
2658494,Steffisburg,CH,"46.778069,7.63249"
2658495,Steckborn,CH,"47.666672,8.98333"
2658496,Stechelberg,CH,"46.543129,7.90149"
2658498,Staufen,CH,"47.38372,8.16606"
2658502,Stansstad,CH,"46.976799,8.33553"
2658504,Stans,CH,"46.95845,8.366"
2658505,Stampa,CH,"46.333328,9.56667"
2658508,Stallen,CH,"47.520679,7.56443"
2658509,Staldenried,CH,"46.22937,7.88269"
2658512,Stalden,CH,"46.23341,7.87273"
2658513,Staffelbach,CH,"47.283951,8.04208"
2658518,Stäfa,CH,"47.242538,8.72342"
2658521,Stabio,CH,"45.85099,8.93918"
2658524,Spreitenbach,CH,"47.420158,8.36301"
2658528,Splügen,CH,"46.553101,9.3231"
2658536,Spiez,CH,"46.684731,7.69111"
2658537,Speicher,CH,"47.4109,9.44335"
2658540,Soyhières,CH,"47.38884,7.3662"
2658543,Sottens,CH,"46.655209,6.74197"
2658544,Sorte,CH,"46.293221,9.18518"
2658546,Sornetan,CH,"47.274609,7.21686"
2658548,Sorens,CH,"46.668461,7.05693"
2658549,Sorengo,CH,"45.99855,8.93713"
2658553,Sonvilier,CH,"47.138828,6.96404"
2658556,Sonceboz,CH,"47.196541,7.17751"
2658560,Sommerau,CH,"47.450001,7.85"
2658563,Kanton Solothurn,CH,"47.210709,7.52048"
2658564,Solothurn,CH,"47.207909,7.53714"
2658565,Solduno,CH,"46.168941,8.77808"
2658569,Soazza,CH,"46.365921,9.22155"
2658572,Sissach,CH,"47.464081,7.80888"
2658573,Sisikon,CH,"46.94915,8.62003"
2658574,Siselen,CH,"47.032509,7.19119"
2658575,Sirnach,CH,"47.462219,8.99763"
2658576,Sitten,CH,"46.22908,7.35942"
2658577,Sins,CH,"47.192162,8.39578"
2658581,Simplon Dorf,CH,"46.194511,8.05753"
2658588,Silvaplana,CH,"46.458099,9.79514"
2658589,Sils im Engadin/Segl,CH,"46.433331,9.76667"
2658590,Sils im Domleschg,CH,"46.700409,9.45404"
2658592,Silenen,CH,"46.789101,8.67325"
2658594,Sihlbrugg Dorf,CH,"47.183331,8.58333"
2658597,Sigriswil,CH,"46.71656,7.71335"
2658600,Signau,CH,"46.919441,7.72418"
2658606,Sierre,CH,"46.29192,7.53559"
2658611,Sézegnin,CH,"46.14423,6.01027"
2658613,Sevelen,CH,"47.122131,9.48601"
2658614,Seuzach / Seuzach (Dorf),CH,"47.53545,8.73728"
2658615,Seth,CH,"46.783329,9.15"
2658623,Seon,CH,"47.344898,8.15607"
2658624,Sent,CH,"46.817169,10.33683"
2658626,Sennwald,CH,"47.260529,9.50268"
2658628,Sengg,CH,"46.704411,7.95096"
2658629,Semsales,CH,"46.573738,6.93018"
2658631,Sempach,CH,"47.131939,8.19391"
2658632,Sementina,CH,"46.183632,8.99162"
2658633,Sembrancher,CH,"46.077518,7.15279"
2658634,Selzach,CH,"47.205311,7.45521"
2658635,Seltisberg,CH,"47.459469,7.71729"
2658638,Selfranga,CH,"46.861431,9.88416"
2658641,Sils-Segl Maria,CH,"46.42886,9.76364"
2658642,Seftigen,CH,"46.787651,7.53936"
2658646,Seewis,CH,"46.76553,9.21998"
2658649,Seengen,CH,"47.328522,8.20509"
2658653,Seedorf,CH,"47.034451,7.31249"
2658654,Seedorf,CH,"46.881989,8.61611"
2658655,Seeberg,CH,"47.155048,7.66665"
2658656,Zürich (Kreis 11) / Seebach,CH,"47.42181,8.54779"
2658657,Sedrun,CH,"46.681561,8.77859"
2658658,Sédeilles,CH,"46.750019,6.93285"
2658660,Scuol,CH,"46.796761,10.30595"
2658664,Kanton Schwyz,CH,"47.083328,8.75"
2658665,Schwyz,CH,"47.027859,8.65611"
2658667,Schwendi,CH,"46.749321,7.69083"
2658669,Schwellbrunn,CH,"47.352551,9.24894"
2658672,Schweizerhalle,CH,"47.529579,7.67682"
2658673,Schwefelbergbad,CH,"46.715382,7.41719"
2658679,Schwarzenegg,CH,"46.795292,7.71685"
2658681,Schwarzenberg,CH,"47.017052,8.17261"
2658683,Schwändi,CH,"46.933331,9.16667"
2658684,Schwanden,CH,"46.995411,9.0701"
2658687,Schwaderloch,CH,"47.585411,8.14455"
2658690,Schüpfheim,CH,"46.951611,8.01724"
2658691,Schüpfen,CH,"47.03661,7.37723"
2658696,Schübelbach,CH,"47.17326,8.92811"
2658699,Schrättern,CH,"46.64529,8.21103"
2658701,Schötz,CH,"47.168961,7.9887"
2658703,Schönried,CH,"46.503632,7.28756"
2658704,Schönholzerswilen,CH,"47.516491,9.14039"
2658706,Schönenwerd,CH,"47.369099,8.00167"
2658707,Schönengrund,CH,"47.327862,9.2269"
2658708,Schönenbuch,CH,"47.538528,7.50572"
2658711,Schöneck,CH,"46.95911,8.50885"
2658714,Schöftland,CH,"47.305721,8.05138"
2658718,Schmitten,CH,"46.857498,7.25031"
2658719,Schmitten,CH,"46.686859,9.67317"
2658720,Schmerikon,CH,"47.22538,8.94836"
2658721,Schmelzboden,CH,"46.700001,9.75"
2658722,Schluocht,CH,"46.829411,9.5526"
2658723,Schlossrued,CH,"47.291191,8.0884"
2658724,Schlieren,CH,"47.396679,8.44763"
2658726,Schleitheim,CH,"47.74818,8.48213"
2658732,Schinznach Dorf,CH,"47.446499,8.14089"
2658733,Schinznach Bad,CH,"47.449921,8.16833"
2658734,Schindellegi,CH,"47.174599,8.71345"
2658738,Schiers,CH,"46.96973,9.6872"
2658742,Scherzingen,CH,"47.63142,9.22476"
2658743,Scherliau,CH,"46.849998,7.41667"
2658744,Schenkon,CH,"47.168301,8.14384"
2658745,Schelten,CH,"47.333462,7.54575"
2658746,Scheid,CH,"46.777222,9.44851"
2658749,Schattdorf,CH,"46.865501,8.65466"
2658751,Schärligbad,CH,"46.883331,7.9"
2658753,Scharans,CH,"46.71814,9.45903"
2658754,Schänis,CH,"47.15799,9.04736"
2658755,Schangnau,CH,"46.827839,7.85988"
2658759,Schafisheim,CH,"47.37529,8.14076"
2658760,Kanton Schaffhausen,CH,"47.710339,8.63388"
2658761,Schaffhausen,CH,"47.697319,8.63493"
2658766,Scanfs,CH,"46.61179,9.98354"
2658769,Saxon,CH,"46.150051,7.18074"
2658770,Saxeten,CH,"46.636581,7.83087"
2658773,Savognin,CH,"46.596359,9.59825"
2658774,Savigny,CH,"46.538441,6.73222"
2658775,Savièse,CH,"46.251148,7.34558"
2658777,Savagnier,CH,"47.049999,6.95"
2658779,Saulcy,CH,"47.30238,7.15404"
2658781,Sattel,CH,"47.082458,8.63565"
2658782,Satigny,CH,"46.214619,6.03553"
2658786,Sarnen,CH,"46.89851,8.25068"
2658788,Sarmenstorf,CH,"47.310219,8.24949"
2658792,Wahlkreis Sarganserland,CH,"47.049999,9.43333"
2658793,Sargans,CH,"47.048962,9.44103"
2658796,Sapinhaut,CH,"46.13578,7.17163"
2658805,Sankt Ursen,CH,"46.790901,7.22011"
2658806,Sankt Stephan,CH,"46.511681,7.39386"
2658807,Sankt Peterzell,CH,"47.317822,9.17449"
2658809,Sankt Peter,CH,"46.833038,9.65091"
2658811,Sankt Niklaus,CH,"46.177059,7.80307"
2658813,St. Moritz,CH,"46.498402,9.83909"
2658816,Sankt Margrethen,CH,"47.45253,9.63741"
2658820,Sankt Gallenkappel,CH,"47.246681,8.97388"
2658821,Kanton St. Gallen,CH,"47.25,9.25"
2658822,Sankt Gallen,CH,"47.423908,9.37477"
2658826,Sankt Antoni,CH,"46.822071,7.26091"
2658834,Sangernboden,CH,"46.713299,7.35187"
2658842,Samnaun,CH,"46.943729,10.36058"
2658846,Samedan,CH,"46.534168,9.87122"
2658847,Salvan,CH,"46.116341,7.01618"
2658848,Salux,CH,"46.624451,9.57613"
2658849,Salmsach,CH,"47.556961,9.36889"
2658850,Salgesch,CH,"46.310558,7.56954"
2658852,Sâles,CH,"46.63763,6.97363"
2658858,Saint-Ursanne,CH,"47.364738,7.15436"
2658860,Saint-Sulpice,CH,"46.510471,6.55897"
2658862,Saint-Prex,CH,"46.47963,6.45992"
2658863,Saint-Pierre-de-Clages,CH,"46.19212,7.23689"
2658864,Saint-Maurice,CH,"46.218262,7.0032"
2658866,Saint-Luc,CH,"46.220631,7.59691"
2658867,Saint-Livres,CH,"46.507938,6.38753"
2658868,Saint-Léonard,CH,"46.251518,7.41714"
2658869,Saint-Jean,CH,"46.19688,7.58662"
2658871,Saint-Imier,CH,"47.15284,6.99692"
2658872,Saint-Gingolph,CH,"46.392948,6.80322"
2658873,Saint-Germain,CH,"46.249599,7.35256"
2658874,Sainte-Croix,CH,"46.822029,6.50283"
2658876,Saint-Cergue,CH,"46.4459,6.15736"
2658877,Saint-Brais,CH,"47.306122,7.11368"
2658878,Saint-Blaise,CH,"47.013229,6.98472"
2658880,Saint-Aubin-Sauges,CH,"46.894192,6.77251"
2658881,Saillon,CH,"46.172081,7.18488"
2658882,Saignelégier,CH,"47.256191,6.99648"
2658885,Sagliaz,CH,"46.616669,9.75"
2658891,Safien Platz,CH,"46.68259,9.31567"
2658892,Safenwil,CH,"47.3214,7.98122"
2658894,Sachseln,CH,"46.86718,8.23344"
2658897,Saas-Grund,CH,"46.12281,7.93651"
2658898,Saas-Fee,CH,"46.113468,7.93488"
2658902,Saas im Prättigau,CH,"46.910179,9.80865"
2658903,Saanenmöser,CH,"46.516239,7.30232"
2658904,Saanen,CH,"46.489559,7.25961"
2658906,Rütti,CH,"46.988861,7.46332"
2658907,Rütli,CH,"46.96851,8.59268"
2658909,Rüti,CH,"47.256031,8.85552"
2658910,Rüti bei Bueren,CH,"47.150002,7.4"
2658912,Rüthi,CH,"47.2948,9.53857"
2658914,Ruswil,CH,"47.084251,8.12645"
2658916,Russin,CH,"46.186958,6.01381"
2658917,Russikon,CH,"47.39669,8.77515"
2658919,Rüschlikon,CH,"47.306881,8.55135"
2658920,Ruschein,CH,"46.785252,9.19247"
2658921,Graben,CH,"46.795292,7.40246"
2658922,Rüschegg,CH,"46.77977,7.39167"
2658924,Rupperswil,CH,"47.416672,8.13333"
2658925,Ruppen,CH,"47.389759,9.50786"
2658926,Rünenberg,CH,"47.434769,7.8829"
2658927,Rümlang,CH,"47.450409,8.52993"
2658928,Rümikon,CH,"47.565578,8.3754"
2658929,Ruis,CH,"46.76667,9.15"
2658930,Rufi,CH,"47.180679,9.04969"
2658934,Rueras,CH,"46.75,8.68333"
2658935,Rüeggisberg,CH,"46.822159,7.4389"
2658936,Rue,CH,"46.61916,6.82225"
2658937,Rudolfstetten,CH,"47.37101,8.38083"
2658938,Rüdlingen,CH,"47.578259,8.57191"
